student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,32,0,268.998,268.998,0.0,7.911705882,7.911705882,13.52957168,1,0,4,1,1,0,0,0,0,0,2,6,3,0,0,1,1,0,0,0,9,6,3,1,2,0.24,1.0,0.387096774,25,0,25,0,25,0,0,25,1.0,0.0,0.0,0,0,0,0,0,0.359015927,0.131476407,0.954091892,0.380399397,0.930111632,0.215962272,0.318336633,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,32,0,268.998,268.998,0.0,7.911705882,5.24969423,7.911705882,1,0,1,0,0,0,0,0,2,6,3,0,0,0,9,6,3,1,2,0.24,1.0,0.387096774,25,0,25,0,25,0,0,25,1.0,0.0,0.0,0,0,0,0,0,4,164.8392672,125.7966863,260.6786393,31.91924912,60.61856213,99.6955
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,9,0,47.158,0.0,47.158,5.239777778,5.730519118,13.51150278,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.166056337,0.0,0.323480324,8,0,8,0,8,0,8,0,0.0,0.0,1.0,0,0,8,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,41,0,316.156,268.998,47.158,7.352465116,5.239777778,7.911705882,2,0,1,1,0,0,0,0,2,6,3,0,0,1,10,6,3,1,2,0.24,0.5,0.324324324,33,0,33,0,33,0,8,25,0.757575758,0.0,0.242424242,0,0,8,0,0,5,264.2295038,213.6990389,510.6006303,33.5009639,54.88639744,63.2005
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.608876560333,122,0,1242.01,1242.01,0.0,10.01620968,10.01620968,14.288877,1,0,4,1,1,0,0,0,0,0,3,21,5,1,0,0,0,0,2,1,24,10,17,12,5,0.1,1.666666667,0.188679245,100,0,100,0,100,0,0,100,1.0,0.0,0.0,0,0,0,0,0,0.633317763,0.131476407,0.994991609,0.086830037,0.930111632,0.554326029,0.590323384,0.104870956,0.011340922,0.011340922,0.029169644,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,163,0,1558.166,1511.008,47.158,9.330335329,5.239777778,9.563341772,3,0,2,1,0,0,0,0,3,27,8,1,0,2,34,16,20,13,7,0.128,0.888888889,0.223776224,133,0,133,0,133,0,8,125,0.939849624,0.0,0.060150376,0,0,8,0,0,5,705.756679,705.756679,623.5281073,0.0,0.0,506.664
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,53,0,402.849,402.849,0.0,7.324527273,7.324527273,13.7973379,1,0,5,1,1,0,0,0,0,0,4,7,2,3,1,1,1,0,0,0,8,4,9,6,3,0.085106383,0.8,0.153846154,47,0,47,0,47,0,0,47,1.0,0.0,0.0,0,0,0,0,0,0.201572846,0.118561049,0.802733711,0.022533424,0.930111632,0.554326029,0.656378382,0.104870956,0.043154774,0.011522626,0.092393445,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.018611481,53,0,402.849,402.849,0.0,7.324527273,5.24969423,7.324527273,1,0,1,0,0,0,0,0,4,7,2,3,1,0,8,4,9,6,3,0.085106383,0.8,0.153846154,47,0,47,0,47,0,0,47,1.0,0.0,0.0,0,0,0,0,0,5,136.7717735,113.2824938,220.7980538,18.59096443,32.38021109,67.9345
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,11,0,17.809,0.0,17.809,1.619,5.730519118,13.78700284,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.166056337,0.0,0.323480324,10,0,10,0,10,0,10,0,0.0,0.0,1.0,0,0,10,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,64,0,420.658,402.849,17.809,6.373606061,1.619,7.324527273,2,0,1,1,0,0,0,0,4,7,2,3,1,1,9,4,9,6,3,0.085106383,0.307692308,0.133333333,57,0,57,0,57,0,10,47,0.824561404,0.0,0.175438596,0,0,10,0,0,6,88.52143265,58.20607937,172.7969031,27.74632016,35.8557963,41.78
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.6883116883118,62,0,838.069,838.069,0.0,13.09482813,13.09482813,14.59857619,1,0,5,1,1,0,0,0,0,0,4,4,1,11,1,0,0,0,2,1,11,8,9,7,2,0.150943396,1.333333333,0.271186441,53,0,53,0,53,0,0,53,1.0,0.0,0.0,0,0,0,0,0,0.04279485,0.027667618,0.802733711,0.074459783,0.930111632,0.673713928,0.854859581,0.104870956,0.043154774,0.094231852,0.205840617,0.01,0.011340922,0.01,0.01155063,0.011340922,0.011522626,0.011522626,0.018611481,126,0,1258.727,1240.918,17.809,9.682515385,1.619,10.42788235,3,0,2,1,0,0,0,0,4,11,3,14,2,2,20,12,18,13,5,0.12,0.631578947,0.201680672,110,0,110,0,110,0,10,100,0.909090909,0.0,0.090909091,0,0,10,0,0,5,537.6418304,537.6411391,788.7727724,0.00060687,0.009823053,354.852
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,23,0,287.367,287.367,0.0,11.49468,11.49468,14.67852856,1,0,6,1,1,0,0,0,0,0,2,4,1,0,0,1,1,0,0,0,5,2,3,2,1,0.1,0.285714286,0.148148148,20,0,20,0,20,0,0,20,1.0,0.0,0.0,2,0,0,0,0,0.04279485,0.027667618,0.802733711,0.074459783,0.930111632,0.864265587,0.854859581,0.091943691,0.043154774,0.094231852,0.205840617,0.01,0.011340922,0.01,0.01155063,0.011340922,0.011522626,0.011522626,0.018611481,23,0,287.367,287.367,0.0,11.49468,5.24969423,11.49468,1,0,1,0,0,0,0,0,2,4,1,0,0,0,5,2,3,2,1,0.1,0.285714286,0.148148148,20,0,20,0,20,0,0,20,1.0,0.0,0.0,2,0,0,0,0,6,142.0847729,117.483358,185.2095986,20.56411654,40.87964397,78.412
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,3,0,6.409,0.0,6.409,2.136333333,5.730519118,14.66979389,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.166056337,0.0,0.323480324,2,0,2,0,2,0,2,0,0.0,0.0,1.0,0,0,2,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,26,0,293.776,287.367,6.409,10.492,2.136333333,11.49468,2,0,1,1,0,0,0,0,2,4,1,0,0,1,6,2,3,2,1,0.1,0.153846154,0.121212121,22,0,22,0,22,0,2,20,0.909090909,0.0,0.090909091,2,0,2,0,0,5,112.6867266,102.5303282,313.4651755,7.518393939,16.41704625,5.8105
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.7697536108752,120,0,1100.452,1100.452,0.0,9.020098361,9.020098361,12.78322476,1,0,6,1,1,0,0,0,0,0,4,10,5,11,5,0,0,0,2,1,20,15,16,11,5,0.147058824,2.5,0.277777778,102,0,102,0,102,0,0,102,1.0,0.0,0.0,11,0,0,0,0,0.092892194,0.020719735,0.976555517,0.139070381,0.930111632,0.951611014,0.458389695,0.091943691,0.128746564,0.263073331,0.345505272,0.052450453,0.021932712,0.024655882,0.011551145,0.011340922,0.011522626,0.011522626,0.011682198,146,0,1394.228,1387.819,6.409,9.294853333,2.136333333,9.440945578,3,0,2,1,0,0,0,0,4,14,6,11,5,2,26,17,19,13,6,0.139344262,0.894736842,0.241134752,124,0,124,0,124,0,2,122,0.983870968,0.0,0.016129032,13,0,2,0,0,8,457.3999871,457.3999871,605.6075083,0.0,0.0,303.571
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,6,0,49.027,0.0,49.027,8.171166667,5.730519118,0.375473701,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.166056337,0.0,0.323480324,5,0,5,0,5,0,5,0,0.0,0.0,1.0,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,6,0,49.027,0.0,49.027,8.171166667,8.171166667,6.100940583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.160948709,0.0,0.268913966,5,0,5,0,5,0,5,0,0.0,0.0,1.0,0,0,5,0,0,3,472.5291424,402.2476603,754.2226573,48.0436209,85.89333199,226.8775
